source	field	rows	filled_rows	coverage	likely_present	likely_absent	p_present_nahuatl	p_not_nahuatl	p_present_spanish	p_not_spanish	p_present_french	p_not_french	p_present_latin	p_not_latin	p_present_english	p_not_english	p_present_greek	p_not_greek	top_evidence
1547 Olmos_G	Comentario (es)	868	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1547 Olmos_G	Comentario_wimmer_plus_html	868	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1547 Olmos_G	all_public_text	868	868	1.0000	spanish	french,latin,english,greek	0.0622	0.9378	0.8332	0.1668	0.0036	0.9964	0.0134	0.9866	0.0000	1.0000	0.0000	1.0000	nahuatl:no=71|quin=27|oc=24; spanish:el=268; french:tambien=13|mexico=4|cipres=2; latin:scil=54|vel=15
1547 Olmos_V ?	Original	2008	2008	1.0000	nahuatl	spanish,french,latin,english,greek	0.9550	0.0450	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=14|yn=5
1547 Olmos_V ?	Editado	2008	2004	0.9980	nahuatl	spanish,french,latin,english,greek	0.9553	0.0447	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:ehua=10|itech=6
1547 Olmos_V ?	Traducción	2008	2005	0.9985	spanish	nahuatl,french,latin,english,greek	0.0038	0.9962	0.7960	0.2040	0.0008	0.9992	0.0004	0.9996	0.0000	1.0000	0.0000	1.0000	nahuatl:no=6|huir=5|humillarse=5; spanish:el=174|algo=148; french:verguenza=8|primogenito=2|cortesmente=2; latin:vel=5
1547 Olmos_V ?	Traducción (es)	2008	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1547 Olmos_V ?	Comentario	2008	1	0.0005	spanish	nahuatl,french,latin,english,greek	0.0000	1.0000	0.5096	0.4904	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	spanish:ocasion=1
1547 Olmos_V ?	Comentario (es)	2008	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
1547 Olmos_V ?	Comentario_wimmer_plus_html	2008	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
